id,text
697,"Їв би паляниці, та зубів нема"
698,"Їдеш на один день, а хліба бери на тиждень"
699,"Їдної смерти не минеш, а другої не буде"
700,"Їж, коза, лозу, коли сіна немає"
701,"Їж, поки рот свіж, а як помреться, то все минеться"
702,"Їжте, діти, ситу – на дні патока буде"
703,"Їй кажеш овес, а вона каже гречка"
704,Їсти – аж живіт до спини тягне
705,Їсти – аж плач
706,Його і в корці не піймаєш
707,"Його й шило голить, а нас і бритва не бере"
708,"Його по смерть добре посилать, – то нажитись можна"
709,Йому все дарма
710,Йому й за вухом не свербить
711,Йому й чорт не брат
712,Йому й чорт яйця несе
713,"Йому кажи тату, а він каже кату"
714,"Йому про коня, а він про вола"
715,"Йому так треба, як мені ні"
716,Й слід пропав
717,Й слух запав
718,I хліба шматка дасть – бог
719,"Казав пан, кожух дам, та слово його тепле"
720,"Кажуть, що з лиха вмреш – отже ні!"
721,"Каплоуху хоч родзинками годуй, а все буде каплоуха"
722,Кат вас розбере
723,Кат його зна
724,"Кат зна, як робить"
725,"Каша – мати наша, а борщ – полежака: лежить дома, як собака"
726,Каші маслом не зіпсуєш
727,"Кива головою, неначе кобила в спасівку"
728,"Кидається й сірою собакою, й білою, а ради не дасть"
